url,title
https://sfbay.craigslist.org/eby/cto/d/san-lorenzo-tesla-model-sr/7657035805.html,Tesla Model 3 SR+
https://sfbay.craigslist.org/sfc/ctd/d/fremont-2019-tesla-model-long-range/7657029878.html,*2019* *Tesla* *Model 3* *Long Range*
https://sfbay.craigslist.org/eby/cto/d/dublin-2018-tesla-model-mid-range-sedan/7657012498.html,2018 Tesla Model 3 · Mid Range Sedan 4D
https://sfbay.craigslist.org/sby/cto/d/santa-clara-2018-mid-range-model3-fsd/7656999267.html,2018 Mid-range Model3 w/ FSD
https://sfbay.craigslist.org/eby/ctd/d/concord-2022-tesla-model-performance/7656963485.html,2022 Tesla Model Y Performance Sport Utility 4D
https://sfbay.craigslist.org/sby/cto/d/san-jose-2022-mustang-mach-select/7656958288.html,2022 Mustang Mach-E (SELECT)
https://sfbay.craigslist.org/pen/cto/d/burlingame-2014-tesla-p-rare-model-free/7656956150.html,2014 Tesla S P85+ ---> Rare model/FREE supercharging /low miles
https://sfbay.craigslist.org/eby/cto/d/bethel-island-hummer-ev-electric/7656931739.html,HUMMER EV (ELECTRIC VEHICLE) PICKUP ORDER
https://sfbay.craigslist.org/sby/cto/d/san-jose-2022-tesla-model-plaid-with-fsd/7656922670.html,2022 Tesla Model S Plaid with FSD
https://sfbay.craigslist.org/eby/ctd/d/fremont-2022-tesla-model-long-range/7656921415.html,2022 Tesla Model 3 Long Range Sedan 4D with
https://sfbay.craigslist.org/nby/cto/d/novato-2021-tesla-model-standard/7656916938.html,2021 Tesla Model 3 Standard
https://sfbay.craigslist.org/pen/cto/d/san-carlos-id4-pro-awd-only-13k-miles/7656903004.html,ID4 Pro S - AWD 2021 - only 13K miles
https://sfbay.craigslist.org/eby/ctd/d/livermore-2016-vw-golffinancing/7656877789.html,2016  VW ** E ** GOLF—FINANCING AVAILABLE—🤩
https://sfbay.craigslist.org/pen/cto/d/los-altos-rivian-r1s-white-exterior/7656873304.html,"Rivian R1S - White exterior, gray interior"
https://sfbay.craigslist.org/pen/cto/d/los-altos-2015-bmw-i3-with-the-range/7656864044.html,2015 BMW i3 with the Range Extender clean title and good  condition
https://sfbay.craigslist.org/eby/ctd/d/daly-city-2017-ford-fusion-hybrid/7656855281.html,2017 Ford Fusion Hybrid SESedan
https://sfbay.craigslist.org/sby/ctd/d/sunnyvale-2014-toyota-rav4-ev-electric/7656844361.html,2014 Toyota RAV4 EV Electric  GET UP TO $4000 TAX REBATE LOW PRICE -
https://sfbay.craigslist.org/eby/ctd/d/hayward-2022-nissan-leaf-plus-hatchback/7656844238.html,2022 Nissan LEAF S PLUS Hatchback 4D
https://sfbay.craigslist.org/eby/ctd/d/hayward-2020-chevrolet-bolt-ev-lt-left/7656843516.html,2020 Chevrolet Bolt EV LT - 7 left in stock!
https://sfbay.craigslist.org/eby/ctd/d/hayward-2019-chevrolet-bolt-ev-premier/7656843479.html,2019 Chevrolet Bolt EV Premier - 7 left in stock!
https://sfbay.craigslist.org/eby/ctd/d/hayward-2020-chevrolet-bolt-ev-premier/7656843395.html,2020 Chevrolet Bolt EV Premier - 7 left in stock!
https://sfbay.craigslist.org/eby/ctd/d/hayward-2021-nissan-leaf-sv-hatchback-4d/7656843262.html,2021 Nissan LEAF SV Hatchback 4D
https://sfbay.craigslist.org/eby/ctd/d/hayward-2018-tesla-model-75d-bad-credit/7656843194.html,2018 Tesla Model S 75D - BAD CREDIT OK!
https://sfbay.craigslist.org/eby/ctd/d/hayward-2019-chevrolet-bolt-ev-lt/7656842835.html,2019 Chevrolet Bolt EV LT Hatchback 4D
https://sfbay.craigslist.org/eby/ctd/d/hayward-2019-chevrolet-bolt-ev-lt/7656842762.html,2019 Chevrolet Bolt EV LT Hatchback 4D
https://sfbay.craigslist.org/eby/ctd/d/hayward-2019-chevrolet-bolt-ev-lt/7656842658.html,2019 Chevrolet Bolt EV LT Hatchback 4D
https://sfbay.craigslist.org/eby/ctd/d/hayward-2016-chevrolet-volt-lt-bad/7656840730.html,2016 Chevrolet Volt LT - BAD CREDIT OK!
https://sfbay.craigslist.org/eby/ctd/d/hayward-2016-chevrolet-volt-no-credit/7656840588.html,2016 Chevrolet Volt-No Credit-Bad Credit OK!
https://stockton.craigslist.org/ctd/d/fremont-2013-toyota-rav4-ev-base/7656835407.html,*2013* *Toyota* *RAV4 EV* *Base*
https://sfbay.craigslist.org/eby/cto/d/san-ramon-2015-tesla-model-70d-free/7656832514.html,"2015 tesla model s 70d , free supercharging, data and autopilot"
https://sfbay.craigslist.org/nby/cto/d/vallejo-2020-tesla-model/7656770903.html,2020 Tesla Model 3
https://sfbay.craigslist.org/eby/cto/d/union-city-2019-hyundai-ioniq-electric/7656769341.html,2019 Hyundai IONIQ Electric Limited Hatchback 4D (Electric 118 118)
https://sfbay.craigslist.org/eby/cto/d/oakland-2017-nissan-leaf-sv/7656749162.html,2017 Nissan LEAF SV
https://sfbay.craigslist.org/nby/ctd/d/santa-clara-2019-tesla-model-long-range/7656742594.html,2019 Tesla Model X Long Range AWD 4dr SUV - We Finance !!!
https://sfbay.craigslist.org/nby/ctd/d/santa-clara-2015-fiat-500e-base-2dr/7656742491.html,2015 FIAT 500e Base 2dr Hatchback - We Finance !!!
https://sfbay.craigslist.org/nby/ctd/d/santa-clara-2020-tesla-model/7656742464.html,2020 Tesla Model X Performance AWD 4dr SUV - We Finance !!!
https://sfbay.craigslist.org/nby/ctd/d/santa-clara-2019-chevrolet-chevy-bolt/7656740798.html,2019 Chevrolet Chevy Bolt EV Premier 4dr Hatchback - We Finance !!!
https://sfbay.craigslist.org/nby/ctd/d/santa-clara-2019-volkswagen-golf-sel/7656740668.html,2019 Volkswagen e-Golf SEL Premium 4dr Hatchback - We Finance !!!
https://sfbay.craigslist.org/eby/ctd/d/concord-2018-tesla-model-p100d-sport/7656735258.html,2018 Tesla Model X P100D Sport Utility 4D
https://sfbay.craigslist.org/pen/cto/d/palo-alto-63k-miles-2016-model-90d-with/7656732566.html,63k miles 2016 Model X 90D with unlimited supercharging
https://sfbay.craigslist.org/sby/cto/d/santa-clara-kia-niro-ev-ex-premium-13k/7656728717.html,Kia Niro EV EX Premium - 13k miles - MUST GO URGENTLY!
https://sfbay.craigslist.org/eby/ctd/d/fremont-2018-chevrolet-volt-lt-sedan-4d/7656723156.html,2018 Chevrolet Volt LT Sedan 4D with
https://sfbay.craigslist.org/pen/cto/d/union-city-2020-tesla-model-long-range/7656708545.html,2020 Tesla Model 3 Long Range
https://sfbay.craigslist.org/nby/cto/d/san-rafael-2020-tesla-model-long-range/7656695152.html,2020 Tesla Model 3 Long Range w/Ext Warranty
https://sfbay.craigslist.org/sby/ctd/d/san-jose-185-mo-toyota-prius/7656665548.html,$185/mo - 2012 Toyota Prius TwoHatchback
https://sfbay.craigslist.org/eby/ctd/d/concord-2020-tesla-model-standard-range/7656664372.html,2020 Tesla Model 3 Standard Range Sedan 4D
https://sfbay.craigslist.org/nby/cto/d/san-rafael-2017-nissan-leaf/7656662260.html,2017 Nissan Leaf
https://sfbay.craigslist.org/eby/ctd/d/concord-2022-ford-f150-lightning-lariat/7656635696.html,2022 Ford F150 Lightning Lariat Electric AWD
https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2014-nissan-leaf/7656631525.html,2014 Nissan Leaf
https://sfbay.craigslist.org/sby/cto/d/san-jose-2013-tesla-model-performance/7656628470.html,2013 Tesla Model S Performance P85
https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2024-cadillac-lyriq-600-e4/7656628425.html,2024 Cadillac Lyriq 600 E4
https://sfbay.craigslist.org/eby/ctd/d/pleasanton-2017-tesla-model-100d-long/7656622923.html,2017 TESLA MODEL S 100D LONG RANGE AWD PLUS WHITE 2016 2018 2019 2021
https://sfbay.craigslist.org/sby/cto/d/saratoga-2018-model-long-range-red-low/7656610356.html,"2018 Model 3 Long Range, red, low mileage, OBO"
https://sfbay.craigslist.org/pen/ctd/d/burlingame-2020-tesla-model-standard/7656602024.html,2020 TESLA MODEL 3 STANDARD RANGE PLUS 29 K MLS FULL SELF DRIVING/BETA
https://stockton.craigslist.org/cto/d/tracy-2019-hyundai-ioniq-electric-sel/7656590653.html,2019 Hyundai Ioniq Electric SEL
https://sfbay.craigslist.org/nby/ctd/d/fairfield-2021-polestar-launch-edition/7656563618.html,2021 Polestar 2 Launch Edition
https://sfbay.craigslist.org/eby/cto/d/port-costa-2019-nissan-leaf-sv-plus/7656554206.html,2019 Nissan Leaf SV Plus
https://sfbay.craigslist.org/sby/ctd/d/san-jose-2021-porsche-cayenne-hybrid/7656536942.html,2021 Porsche Cayenne E-Hybrid suv Quartzite Grey Metallic
https://sfbay.craigslist.org/eby/ctd/d/walnut-creek-2021-tesla-model/7656535148.html,2021 Tesla Model 3 Performance
https://sfbay.craigslist.org/pen/ctd/d/san-mateo-2015-nissan-leaf-electric/7656501613.html,2015 Nissan LEAF Electric S Hatchback
https://sfbay.craigslist.org/pen/ctd/d/san-mateo-2015-tesla-model-awd-all/7656497855.html,2015 Tesla Model S AWD All Wheel Drive Electric 85D Hatchback
https://sfbay.craigslist.org/eby/cto/d/pleasanton-2015-vw-egolf/7656476815.html,2015 VW eGolf
https://sfbay.craigslist.org/eby/cto/d/oakland-2015-bmw-i3/7656444855.html,2015 BMW i3
https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2021-tesla-model-long/7656427033.html,2021 Tesla Model 3 Long Range
https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2021-tesla-model/7656426322.html,2021 Tesla Model Y
https://sfbay.craigslist.org/pen/cto/d/palo-alto-2021-tesla-model-sr/7656397483.html,2021 Tesla Model 3 SR+
https://sfbay.craigslist.org/sfc/ctd/d/fremont-2023-toyota-bz4x-xle/7656381144.html,*2023* *Toyota* *bZ4X* *XLE*
https://sfbay.craigslist.org/eby/ctd/d/hayward-2013-nissan-leaf-66k-miles/7656376272.html,2013 NISSAN LEAF S 66k MILES - CLEAN TITLE
https://sfbay.craigslist.org/eby/ctd/d/hayward-2016-mitsubishi-miev-es-60k/7656375774.html,2016 MITSUBISHI I-MIEV ES 60K MILES  ONE OWNER - CLEAN TITLE
https://sfbay.craigslist.org/sby/ctd/d/sunnyvale-2016-toyota-mirai-4d-sedan/7656370194.html,2016 Toyota Mirai 4D SEDAN LOW MILES! CLEAN TITLE Trades OK
https://sfbay.craigslist.org/sfc/ctd/d/oakland-2018-tesla-model-75d-hatchback/7656364397.html,2018 Tesla Model X 75D hatchback
https://sfbay.craigslist.org/scz/cto/d/boulder-creek-tesla-model-long-range-rwd/7656357268.html,Tesla Model 3 Long Range RWD
https://sfbay.craigslist.org/eby/ctd/d/oakland-2019-tesla-model-standard-range/7656354334.html,2019 Tesla Model 3 STANDARD RANGE PLUS
https://sfbay.craigslist.org/eby/ctd/d/fremont-2018-toyota-prime-4dr-hatchback/7656349731.html,2018 Toyota Prime 4dr Hatchback
https://sfbay.craigslist.org/sby/ctd/d/san-jose-2018-tesla-model-75d-awd-4dr/7656349279.html,2018 Tesla Model X 75D AWD 4dr SUV
https://sfbay.craigslist.org/eby/ctd/d/san-ramon-2022-audi-q4-tron-quattro/7656348281.html,2022 Audi Q4 e-tron quattro Premium Plus 50 T  ***PEBBLE GRAY***S LI
https://sfbay.craigslist.org/eby/ctd/d/fremont-2010-toyota-prius-4d-hatchback/7656347774.html,2010 Toyota Prius 4D Hatchback
https://sfbay.craigslist.org/eby/ctd/d/fremont-2011-toyota-prius-4d-hatchback/7656347626.html,2011 Toyota Prius 4D Hatchback
https://sfbay.craigslist.org/eby/ctd/d/fremont-2014-lexus-ct-200h-hybrid-4d/7656347285.html,2014 Lexus CT 200h Hybrid 4D Premium Sedan
https://sfbay.craigslist.org/eby/cto/d/oakland-ford-focus-electric-low-miles/7656335023.html,Ford Focus  ELECTRIC  Low Miles!
