url,title
https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2008-audi-a3-quattro-32l/7657066177.html,2008 Audi A3 Quattro 3.2L V6 S-Line
https://sfbay.craigslist.org/pen/cto/d/san-mateo-2012-bmw-f10-535i-xdrive/7657065990.html,2012 BMW F10 535i xdrive
https://sfbay.craigslist.org/pen/cto/d/mountain-view-2016-vw-gti-autobahn/7657065491.html,2016 VW GTi Autobahn 6speed Manu
https://sfbay.craigslist.org/sby/cto/d/santa-clara-2019-toyota-chr-blue/7657065154.html,2019 Toyota CHR Blue
https://sfbay.craigslist.org/eby/cto/d/san-ramon-mini-cooper-works-mint/7657064911.html,>> 2020 MINI Cooper : S-Works : MINT <<
https://sfbay.craigslist.org/eby/cto/d/fremont-2006-toyota-sienna-le-owner/7657064528.html,2006 Toyota Sienna LE 1-Owner
https://sfbay.craigslist.org/eby/cto/d/port-costa-van-life-vintage-aluminum/7657063785.html,Van life: Vintage Aluminum Body Step Van  with Camping Setup
https://sfbay.craigslist.org/sfc/cto/d/san-francisco-1991-bmw-318i-salvage/7657063633.html,1991 BMW 318i - Salvage Title - $9000
https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2017-ford-mustang-gt/7657063577.html,2017 FORD MUSTANG GT Premium 2dr Convertible**$$6500 DOWN W BAD CREDIT
https://sfbay.craigslist.org/eby/cto/d/san-ramon-2017-ram-2500-slt-cummins/7657063216.html,2017 RAM 2500 SLT Cummins - Mint & Lifted
https://sfbay.craigslist.org/sfc/cto/d/daly-city-1999-subaru-wagon-182k-miles/7657063119.html,1999 SUBARU L WAGON 182K MILES
https://sfbay.craigslist.org/pen/cto/d/san-mateo-1968-vw-bug/7657062993.html,1968 VW Bug
https://sfbay.craigslist.org/nby/cto/d/napa-2014-nissan-altima/7657062568.html,2014 Nissan Altima
https://sfbay.craigslist.org/scz/cto/d/san-francisco-the-ultimate-2023-burning/7657062338.html,The Ultimate 2023 Burning Van
https://sfbay.craigslist.org/eby/cto/d/alameda-2000-chevy-ton-utility-truck/7657061602.html,2000 Chevy 3500 1 Ton Utility Truck! Runs great!
https://sfbay.craigslist.org/sby/cto/d/san-jose-ford-350-king-ranch-package/7657061201.html,Ford F 350 King Ranch Package Diesel Dually 4x4 2018
https://sfbay.craigslist.org/eby/cto/d/danville-vw-atlas-se-cross-sport-2020/7657060949.html,VW Atlas SE Cross Sport 2020-Perfect Carfax-Paid Maintenance &Tags!
https://sfbay.craigslist.org/pen/cto/d/portola-valley-2010-subaru-forester-awd/7657060035.html,2010 Subaru Forester AWD 88K miles
